lag_time,msd_mean,msd_std,alpha_exponent
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-01,1.472268e-03,1.232185e-03,2.008324e+00
2.000000e-01,5.923146e-03,4.850655e-03,1.955021e+00
3.000000e-01,1.292183e-02,1.032673e-02,1.838029e+00
4.000000e-01,2.154558e-02,1.682353e-02,1.704530e+00
5.000000e-01,3.112331e-02,2.385070e-02,1.607156e+00
6.000000e-01,4.146548e-02,3.139993e-02,1.533376e+00
7.000000e-01,5.224727e-02,3.937565e-02,1.445360e+00
8.000000e-01,6.297534e-02,4.746998e-02,1.345661e+00
9.000000e-01,7.338653e-02,5.550802e-02,1.263436e+00
1.000000e+00,8.355518e-02,6.370870e-02,1.207821e+00
1.100000e+00,9.355699e-02,7.229883e-02,1.159769e+00
1.200000e+00,1.032733e-01,8.122262e-02,1.123224e+00
1.300000e+00,1.128856e-01,9.050392e-02,1.119531e+00
1.400000e+00,1.227154e-01,1.001201e-01,1.142440e+00
1.500000e+00,1.329141e-01,1.098319e-01,1.173458e+00
1.600000e+00,1.435123e-01,1.193458e-01,1.208364e+00
1.700000e+00,1.545931e-01,1.287487e-01,1.245255e+00
1.800000e+00,1.661625e-01,1.381604e-01,1.271106e+00
1.900000e+00,1.780608e-01,1.474350e-01,1.282656e+00
2.000000e+00,1.902023e-01,1.565893e-01,1.288598e+00
2.100000e+00,2.025688e-01,1.660106e-01,1.285277e+00
2.200000e+00,2.149949e-01,1.758650e-01,1.269133e+00
2.300000e+00,2.273699e-01,1.859928e-01,1.250942e+00
2.400000e+00,2.397244e-01,1.961830e-01,1.232698e+00
2.500000e+00,2.519922e-01,2.063374e-01,1.212064e+00
2.600000e+00,2.641560e-01,2.164400e-01,1.195474e+00
2.700000e+00,2.762820e-01,2.264936e-01,1.193413e+00
2.800000e+00,2.885794e-01,2.367073e-01,1.207137e+00
2.900000e+00,3.011651e-01,2.470563e-01,1.211605e+00
3.000000e+00,3.137429e-01,2.571750e-01,1.177320e+00
3.100000e+00,3.257858e-01,2.667364e-01,1.110060e+00
3.200000e+00,3.370713e-01,2.757753e-01,1.055268e+00
3.300000e+00,3.480163e-01,2.848291e-01,1.042757e+00
3.400000e+00,3.590650e-01,2.943307e-01,1.049720e+00
3.500000e+00,3.701879e-01,3.041451e-01,1.034379e+00
3.600000e+00,3.809454e-01,3.136742e-01,9.894614e-01
3.700000e+00,3.911287e-01,3.225461e-01,9.499349e-01
3.800000e+00,4.010295e-01,3.309983e-01,9.479708e-01
3.900000e+00,4.111371e-01,3.396722e-01,9.811302e-01
4.000000e+00,4.217154e-01,3.491357e-01,1.016894e+00
4.100000e+00,4.325792e-01,3.592733e-01,1.037160e+00
4.200000e+00,4.436010e-01,3.694177e-01,1.050877e+00
4.300000e+00,4.547778e-01,3.789832e-01,1.063382e+00
4.400000e+00,4.660942e-01,3.878144e-01,1.072185e+00
4.500000e+00,4.774932e-01,3.960678e-01,1.078696e+00
4.600000e+00,4.889862e-01,4.040842e-01,1.089448e+00
4.700000e+00,5.006553e-01,4.123913e-01,1.099782e+00
4.800000e+00,5.124165e-01,4.211945e-01,1.091021e+00
4.900000e+00,5.239488e-01,4.302793e-01,1.067889e+00
5.000000e+00,5.352535e-01,4.394446e-01,1.061892e+00
5.100000e+00,5.466841e-01,4.487833e-01,1.085087e+00
5.200000e+00,5.585168e-01,4.583390e-01,1.117288e+00
5.300000e+00,5.706856e-01,4.678618e-01,1.128547e+00
5.400000e+00,5.828201e-01,4.769920e-01,1.098474e+00
5.500000e+00,5.943959e-01,4.853450e-01,1.039942e+00
5.600000e+00,6.052972e-01,4.928922e-01,9.830525e-01
5.700000e+00,6.156475e-01,4.998850e-01,9.377617e-01
5.800000e+00,6.255550e-01,5.067905e-01,9.100181e-01
5.900000e+00,6.352778e-01,5.140533e-01,9.089959e-01
6.000000e+00,6.451299e-01,5.220126e-01,9.284123e-01
6.100000e+00,6.552424e-01,5.305991e-01,9.490541e-01
6.200000e+00,6.655187e-01,5.395683e-01,9.575795e-01
6.300000e+00,6.758001e-01,5.487288e-01,9.697541e-01
6.400000e+00,6.863237e-01,5.580609e-01,1.011302e+00
6.500000e+00,6.974902e-01,5.677262e-01,1.061952e+00
6.600000e+00,7.091149e-01,5.775434e-01,1.070647e+00
6.700000e+00,7.204963e-01,5.870775e-01,1.020294e+00
6.800000e+00,7.310584e-01,5.958818e-01,9.488545e-01
6.900000e+00,7.408988e-01,6.039086e-01,9.032332e-01
7.000000e+00,7.504561e-01,6.115858e-01,8.875832e-01
7.100000e+00,7.599302e-01,6.191710e-01,8.833744e-01
7.200000e+00,7.693662e-01,6.266771e-01,8.983580e-01
7.300000e+00,7.791289e-01,6.343884e-01,9.453033e-01
7.400000e+00,7.895441e-01,6.426393e-01,1.002125e+00
7.500000e+00,8.005133e-01,6.515638e-01,1.041220e+00
7.600000e+00,8.117712e-01,6.609581e-01,1.058006e+00
7.700000e+00,8.231149e-01,6.703307e-01,1.058823e+00
7.800000e+00,8.344083e-01,6.791714e-01,1.055864e+00
7.900000e+00,8.457051e-01,6.873790e-01,1.073691e+00
8.000000e+00,8.573967e-01,6.954622e-01,1.108872e+00
8.100000e+00,8.694741e-01,7.038763e-01,1.113638e+00
8.200000e+00,8.813044e-01,7.125932e-01,1.063370e+00
8.300000e+00,8.923309e-01,7.213464e-01,9.851709e-01
8.400000e+00,9.024876e-01,7.299746e-01,9.183341e-01
8.500000e+00,9.120644e-01,7.383657e-01,8.815294e-01
8.600000e+00,9.214059e-01,7.464517e-01,8.747676e-01
